16
PR987456,Duona,1458432000,21
PR365894,Coca-Cola,1493769600,43
PR255668,Pepsi,1505001600,34
PR877230,Makaronai,1478736000,16
PR149879,Tualetinis Popierius,1601856000,40
PR212035,Ryziai,1527811200,14
PR274191,Kava,1496275200,20
PR336347,Daktariska desra,1464825600,8
PR398504,Aliejus,1474675200,17
PR460660,Suris,1460246400,9
PR522816,Skalbimo milteliai,1517616000,32
PR584972,Koldunai,1483228800,11
PR647128,Arbata,1613606400,10
PR709285,Sureliai,1454630400,5
PR771441,Jogurtas,1456272000,3
PR833597,Pienas,1456790400,2
